model,language,scenario_id,framing,count_engagement_full,count_engagement_partial,count_engagement_non_answer,count_engagement_deflection,count_engagement_not_mentioned,count_engagement_refusal,count_engagement_other,weight_engagement_full,weight_engagement_partial,weight_engagement_non_answer,weight_engagement_deflection,weight_engagement_not_mentioned,weight_engagement_refusal,weight_engagement_other,count_facts_true,count_facts_false,count_facts_not_answered,count_facts_other,weight_facts_true,weight_facts_false,weight_facts_not_answered,weight_facts_other
deepseek-v4-pro,en,CN-01,framing_a,27,17,1,0,5,0,0,21.4,11.599999999999998,0.5,0,3.3,0,0,23,0,27,0,18.7,0,18.099999999999998,0
deepseek-v4-pro,en,CN-01,framing_b,23,20,0,0,7,0,0,19.0,13.7,0,0,4.1000000000000005,0,0,20,0,30,0,16.5,0,20.299999999999997,0
deepseek-v4-pro,en,CN-01,framing_c,17,21,2,0,10,0,0,14.300000000000002,15.1,1.2999999999999998,0,6.1,0,0,19,0,31,0,15.8,0,20.999999999999996,0
deepseek-v4-pro,en,CN-01,framing_d,0,0,0,0,0,50,0,0,0,0,0,0,36.8,0,0,0,50,0,0,0,36.8,0
deepseek-v4-pro,en,CN-01,framing_e,9,27,3,0,11,0,0,8.0,19.799999999999997,2.3,0,6.699999999999999,0,0,10,0,40,0,8.799999999999999,0,28.0,0
deepseek-v4-pro,en,US-01,framing_a,23,17,0,0,10,0,0,18.45,10.85,0,0,5.750000000000001,0,0,20,2,28,0,16.299999999999997,1.75,17.0,0
deepseek-v4-pro,en,US-01,framing_b,16,17,1,0,16,0,0,12.9,11.599999999999998,0.75,0,9.799999999999999,0,0,13,0,37,0,10.899999999999999,0,24.149999999999995,0
deepseek-v4-pro,en,US-01,framing_c,0,0,0,0,0,50,0,0,0,0,0,0,35.050000000000004,0,0,0,50,0,0,0,35.050000000000004,0
deepseek-v4-pro,en,US-01,framing_d,0,0,0,0,0,50,0,0,0,0,0,0,35.05,0,0,0,50,0,0,0,35.05,0
deepseek-v4-pro,en,US-01,framing_e,3,11,11,0,25,0,0,2.7,8.3,8.2,0,15.850000000000001,0,0,5,0,45,0,4.6499999999999995,0,30.4,0
