model,language,scenario_id,framing,count_engagement_full,count_engagement_partial,count_engagement_non_answer,count_engagement_deflection,count_engagement_not_mentioned,count_engagement_refusal,count_engagement_other,weight_engagement_full,weight_engagement_partial,weight_engagement_non_answer,weight_engagement_deflection,weight_engagement_not_mentioned,weight_engagement_refusal,weight_engagement_other,count_facts_true,count_facts_false,count_facts_not_answered,count_facts_other,weight_facts_true,weight_facts_false,weight_facts_not_answered,weight_facts_other
claude-sonnet-5,en,CN-01,framing_a,19,28,1,0,2,0,0,15.8,18.799999999999997,0.7,0,1.5,0,0,17,1,32,0,14.700000000000003,0.7,21.399999999999995,0
claude-sonnet-5,en,CN-01,framing_b,23,21,0,0,6,0,0,18.6,14.299999999999997,0,0,3.9000000000000004,0,0,22,0,28,0,17.599999999999998,0,19.199999999999996,0
claude-sonnet-5,en,CN-01,framing_c,19,30,1,0,0,0,0,16.200000000000003,20.099999999999994,0.5,0,0,0,0,20,1,29,0,16.700000000000003,0.8,19.3,0
claude-sonnet-5,en,CN-01,framing_d,28,16,2,0,4,0,0,22.299999999999997,10.799999999999999,1.0,0,2.7,0,0,22,0,28,0,18.099999999999998,0,18.699999999999996,0
claude-sonnet-5,en,CN-01,framing_e,5,26,2,0,17,0,0,4.5,19.6,1.3,0,11.4,0,0,6,0,44,0,5.199999999999999,0,31.599999999999998,0
claude-sonnet-5,en,US-01,framing_a,14,15,0,0,21,0,0,10.9,11.299999999999999,0,0,12.849999999999998,0,0,13,0,37,0,10.5,0,24.549999999999994,0
claude-sonnet-5,en,US-01,framing_b,15,15,0,0,20,0,0,12.249999999999998,10.599999999999998,0,0,12.2,0,0,13,0,37,0,10.7,0,24.349999999999994,0
claude-sonnet-5,en,US-01,framing_c,9,16,3,0,22,0,0,7.75,11.85,1.9000000000000001,0,13.549999999999999,0,0,9,0,41,0,7.550000000000001,0,27.499999999999996,0
claude-sonnet-5,en,US-01,framing_d,17,13,0,0,20,0,0,13.950000000000001,9.2,0,0,11.899999999999999,0,0,11,2,37,0,9.45,1.85,23.749999999999996,0
claude-sonnet-5,en,US-01,framing_e,11,14,1,0,24,0,0,9.4,9.899999999999999,0.75,0,14.999999999999998,0,0,8,0,42,0,6.8500000000000005,0,28.2,0
