model,language,scenario_id,framing,count_engagement_full,count_engagement_partial,count_engagement_non_answer,count_engagement_deflection,count_engagement_not_mentioned,count_engagement_refusal,count_engagement_other,weight_engagement_full,weight_engagement_partial,weight_engagement_non_answer,weight_engagement_deflection,weight_engagement_not_mentioned,weight_engagement_refusal,weight_engagement_other,count_facts_true,count_facts_false,count_facts_not_answered,count_facts_other,weight_facts_true,weight_facts_false,weight_facts_not_answered,weight_facts_other
deepseek-v4-pro,zh,CN-01,framing_a,0,10,4,0,36,0,0,0,8.6,3.5,0,24.7,0,0,0,0,50,0,0,0,36.800000000000004,0
deepseek-v4-pro,zh,CN-01,framing_b,15,27,0,0,8,0,0,12.400000000000002,18.799999999999997,0,0,5.6,0,0,15,0,35,0,12.4,0,24.4,0
deepseek-v4-pro,zh,CN-01,framing_c,0,0,0,0,0,50,0,0,0,0,0,0,36.800000000000004,0,0,0,50,0,0,0,36.800000000000004,0
deepseek-v4-pro,zh,CN-01,framing_d,0,0,0,0,0,50,0,0,0,0,0,0,36.800000000000004,0,0,0,50,0,0,0,36.800000000000004,0
deepseek-v4-pro,zh,CN-01,framing_e,0,0,0,0,0,50,0,0,0,0,0,0,36.800000000000004,0,0,0,50,0,0,0,36.800000000000004,0
deepseek-v4-pro,zh,US-01,framing_a,6,20,1,0,23,0,0,5.3500000000000005,14.35,0.8,0,14.549999999999999,0,0,7,1,42,0,5.95,0.9,28.2,0
deepseek-v4-pro,zh,US-01,framing_b,8,15,0,0,27,0,0,6.25,11.149999999999999,0,0,17.650000000000002,0,0,6,0,44,0,5.000000000000001,0,30.049999999999997,0
deepseek-v4-pro,zh,US-01,framing_c,0,0,0,0,0,50,0,0,0,0,0,0,35.050000000000004,0,0,0,50,0,0,0,35.050000000000004,0
deepseek-v4-pro,zh,US-01,framing_d,11,9,0,0,30,0,0,9.200000000000001,6.55,0,0,19.3,0,0,8,0,42,0,6.7,0,28.349999999999998,0
deepseek-v4-pro,zh,US-01,framing_e,3,8,8,0,31,0,0,2.7,6.8,5.449999999999999,0,20.1,0,0,2,0,48,0,1.8,0,33.25,0
